run_id,question_id,brain,condition,variant,p_yes,mean_bias,corrected_bias,b0,n_trials,n_zero_spike_trials,left_is_yes
110,2026-house-az-1,malecns,er,original,0.574824,0.328146,-0.149648,0.477795,10,0,0
116,2026-house-az-1,malecns,er,paraphrase,0.572623,0.332549,-0.145246,0.477795,10,0,0
341,2026-house-az-1,malecns,no_brain,negation,0.505325,-0.005384,-0.010651,0.005267,1,0,0
340,2026-house-az-1,malecns,no_brain,original,0.505141,-0.005015,-0.010282,0.005267,1,0,0
342,2026-house-az-1,malecns,no_brain,paraphrase,0.504289,-0.003311,-0.008578,0.005267,1,0,0
157,2026-house-az-1,malecns,real,negation,0.501051,-0.097302,-0.002102,-0.0952,10,0,0
154,2026-house-az-1,malecns,real,original,0.495931,-0.087062,0.008138,-0.0952,10,0,0
160,2026-house-az-1,malecns,real,paraphrase,0.498718,-0.092636,0.002564,-0.0952,10,0,0
124,2026-house-az-1,malecns,rewired,negation,0.503902,0.064078,-0.007805,0.071883,10,0,0
121,2026-house-az-1,malecns,rewired,original,0.501955,0.067973,-0.003909,0.071883,10,0,0
127,2026-house-az-1,malecns,rewired,paraphrase,0.505448,0.060987,-0.010896,0.071883,10,0,0
412,2026-house-co-8,n/a,coin,original,0.0,,,,1,0,
122,2026-house-co-8,malecns,er,negation,0.543207,0.391382,-0.086413,0.477795,10,0,0
119,2026-house-co-8,malecns,er,original,0.565389,0.347016,-0.130779,0.477795,10,0,0
125,2026-house-co-8,malecns,er,paraphrase,0.542095,0.393605,-0.08419,0.477795,10,0,0
344,2026-house-co-8,malecns,no_brain,negation,0.498112,0.009042,0.003775,0.005267,1,0,0
343,2026-house-co-8,malecns,no_brain,original,0.499738,0.005792,0.000525,0.005267,1,0,0
345,2026-house-co-8,malecns,no_brain,paraphrase,0.497914,0.009438,0.004171,0.005267,1,0,0
166,2026-house-co-8,malecns,real,negation,0.501924,-0.099048,-0.003848,-0.0952,10,0,0
163,2026-house-co-8,malecns,real,original,0.500095,-0.09539,-0.00019,-0.0952,10,0,0
169,2026-house-co-8,malecns,real,paraphrase,0.49681,-0.088819,0.006381,-0.0952,10,0,0
134,2026-house-co-8,malecns,rewired,negation,0.485126,0.101632,0.029749,0.071883,10,0,0
131,2026-house-co-8,malecns,rewired,original,0.485362,0.101158,0.029276,0.071883,10,0,0
137,2026-house-co-8,malecns,rewired,paraphrase,0.486832,0.098219,0.026336,0.071883,10,0,0
398,2026-house-control,n/a,coin,original,0.0,,,,1,0,
8,2026-house-control,malecns,er,negation,0.447379,0.372553,-0.105242,0.477795,10,0,1
6,2026-house-control,malecns,er,original,0.461175,0.400146,-0.077649,0.477795,10,0,1
10,2026-house-control,malecns,er,paraphrase,0.476357,0.430508,-0.047287,0.477795,10,0,1
302,2026-house-control,malecns,no_brain,negation,0.497698,0.000662,-0.004605,0.005267,1,0,1
301,2026-house-control,malecns,no_brain,original,0.495964,-0.002806,-0.008072,0.005267,1,0,1
303,2026-house-control,malecns,no_brain,paraphrase,0.495395,-0.003943,-0.009209,0.005267,1,0,1
29,2026-house-control,malecns,real,negation,0.498092,-0.099015,-0.003815,-0.0952,10,0,1
26,2026-house-control,malecns,real,original,0.500995,-0.093209,0.001991,-0.0952,10,0,1
32,2026-house-control,malecns,real,paraphrase,0.501062,-0.093076,0.002124,-0.0952,10,0,1
11,2026-house-control,malecns,rewired,negation,0.500236,0.072355,0.000472,0.071883,10,0,1
9,2026-house-control,malecns,rewired,original,0.510688,0.093258,0.021375,0.071883,10,0,1
13,2026-house-control,malecns,rewired,paraphrase,0.497613,0.067108,-0.004775,0.071883,10,0,1
413,2026-house-fl-14,n/a,coin,original,1.0,,,,1,0,
130,2026-house-fl-14,malecns,er,negation,0.543724,0.390347,-0.087448,0.477795,10,0,0
128,2026-house-fl-14,malecns,er,original,0.553204,0.371386,-0.106409,0.477795,10,0,0
133,2026-house-fl-14,malecns,er,paraphrase,0.560977,0.355841,-0.121954,0.477795,10,0,0
347,2026-house-fl-14,malecns,no_brain,negation,0.501367,0.002532,-0.002734,0.005267,1,0,0
346,2026-house-fl-14,malecns,no_brain,original,0.501237,0.002792,-0.002475,0.005267,1,0,0
348,2026-house-fl-14,malecns,no_brain,paraphrase,0.500179,0.00491,-0.000357,0.005267,1,0,0
175,2026-house-fl-14,malecns,real,negation,0.495823,-0.086846,0.008354,-0.0952,10,0,0
172,2026-house-fl-14,malecns,real,original,0.497216,-0.089632,0.005568,-0.0952,10,0,0
178,2026-house-fl-14,malecns,real,paraphrase,0.495973,-0.087146,0.008054,-0.0952,10,0,0
143,2026-house-fl-14,malecns,rewired,negation,0.499964,0.071955,7.2e-05,0.071883,10,0,0
140,2026-house-fl-14,malecns,rewired,original,0.49256,0.086763,0.01488,0.071883,10,0,0
146,2026-house-fl-14,malecns,rewired,paraphrase,0.502389,0.067105,-0.004778,0.071883,10,0,0
414,2026-house-fl-25,n/a,coin,original,1.0,,,,1,0,
138,2026-house-fl-25,malecns,er,negation,0.561322,0.35515,-0.122644,0.477795,10,0,0
136,2026-house-fl-25,malecns,er,original,0.55335,0.371096,-0.106699,0.477795,10,0,0
141,2026-house-fl-25,malecns,er,paraphrase,0.562284,0.353228,-0.124567,0.477795,10,0,0
350,2026-house-fl-25,malecns,no_brain,negation,0.501326,0.002615,-0.002652,0.005267,1,0,0
349,2026-house-fl-25,malecns,no_brain,original,0.500862,0.003543,-0.001723,0.005267,1,0,0
351,2026-house-fl-25,malecns,no_brain,paraphrase,0.501035,0.003196,-0.00207,0.005267,1,0,0
183,2026-house-fl-25,malecns,real,negation,0.496807,-0.088815,0.006385,-0.0952,10,0,0
181,2026-house-fl-25,malecns,real,original,0.498129,-0.091458,0.003742,-0.0952,10,0,0
186,2026-house-fl-25,malecns,real,paraphrase,0.500584,-0.096368,-0.001168,-0.0952,10,0,0
152,2026-house-fl-25,malecns,rewired,negation,0.494244,0.083395,0.011512,0.071883,10,0,0
149,2026-house-fl-25,malecns,rewired,original,0.489237,0.093409,0.021527,0.071883,10,0,0
155,2026-house-fl-25,malecns,rewired,paraphrase,0.496591,0.0787,0.006817,0.071883,10,0,0
415,2026-house-ia-1,n/a,coin,original,0.0,,,,1,0,
147,2026-house-ia-1,malecns,er,negation,0.54078,0.396236,-0.081559,0.477795,10,0,0
144,2026-house-ia-1,malecns,er,original,0.557464,0.362866,-0.114929,0.477795,10,0,0
150,2026-house-ia-1,malecns,er,paraphrase,0.559133,0.359528,-0.118267,0.477795,10,0,0
353,2026-house-ia-1,malecns,no_brain,negation,0.501777,0.001713,-0.003554,0.005267,1,0,0
352,2026-house-ia-1,malecns,no_brain,original,0.501963,0.001341,-0.003925,0.005267,1,0,0
354,2026-house-ia-1,malecns,no_brain,paraphrase,0.50231,0.000647,-0.00462,0.005267,1,0,0
192,2026-house-ia-1,malecns,real,negation,0.496701,-0.088602,0.006598,-0.0952,10,0,0
189,2026-house-ia-1,malecns,real,original,0.495254,-0.085708,0.009492,-0.0952,10,0,0
195,2026-house-ia-1,malecns,real,paraphrase,0.499538,-0.094276,0.000924,-0.0952,10,0,0
161,2026-house-ia-1,malecns,rewired,negation,0.493442,0.084999,0.013116,0.071883,10,0,0
158,2026-house-ia-1,malecns,rewired,original,0.49403,0.083823,0.01194,0.071883,10,0,0
164,2026-house-ia-1,malecns,rewired,paraphrase,0.492862,0.08616,0.014277,0.071883,10,0,0
416,2026-house-mi-10,n/a,coin,original,0.0,,,,1,0,
156,2026-house-mi-10,malecns,er,negation,0.522132,0.43353,-0.044265,0.477795,10,0,0
153,2026-house-mi-10,malecns,er,original,0.529047,0.4197,-0.058095,0.477795,10,0,0
159,2026-house-mi-10,malecns,er,paraphrase,0.519531,0.438733,-0.039062,0.477795,10,0,0
356,2026-house-mi-10,malecns,no_brain,negation,0.499518,0.006231,0.000964,0.005267,1,0,0
355,2026-house-mi-10,malecns,no_brain,original,0.501428,0.00241,-0.002856,0.005267,1,0,0
357,2026-house-mi-10,malecns,no_brain,paraphrase,0.499647,0.005973,0.000706,0.005267,1,0,0
201,2026-house-mi-10,malecns,real,negation,0.495077,-0.085355,0.009845,-0.0952,10,0,0
198,2026-house-mi-10,malecns,real,original,0.498706,-0.092612,0.002588,-0.0952,10,0,0
204,2026-house-mi-10,malecns,real,paraphrase,0.4973,-0.0898,0.0054,-0.0952,10,0,0
170,2026-house-mi-10,malecns,rewired,negation,0.50859,0.054703,-0.01718,0.071883,10,0,0
167,2026-house-mi-10,malecns,rewired,original,0.502498,0.066888,-0.004995,0.071883,10,0,0
173,2026-house-mi-10,malecns,rewired,paraphrase,0.508496,0.054891,-0.016992,0.071883,10,0,0
417,2026-house-ny-17,n/a,coin,original,1.0,,,,1,0,
165,2026-house-ny-17,malecns,er,negation,0.464131,0.406057,-0.071738,0.477795,10,0,1
162,2026-house-ny-17,malecns,er,original,0.455269,0.388332,-0.089463,0.477795,10,0,1
168,2026-house-ny-17,malecns,er,paraphrase,0.467033,0.411862,-0.065933,0.477795,10,0,1
359,2026-house-ny-17,malecns,no_brain,negation,0.495002,-0.004729,-0.009996,0.005267,1,0,1
358,2026-house-ny-17,malecns,no_brain,original,0.493638,-0.007457,-0.012724,0.005267,1,0,1
360,2026-house-ny-17,malecns,no_brain,paraphrase,0.495055,-0.004623,-0.00989,0.005267,1,0,1
210,2026-house-ny-17,malecns,real,negation,0.496165,-0.102871,-0.007671,-0.0952,10,0,1
207,2026-house-ny-17,malecns,real,original,0.497971,-0.099258,-0.004058,-0.0952,10,0,1
213,2026-house-ny-17,malecns,real,paraphrase,0.500211,-0.094779,0.000421,-0.0952,10,0,1
179,2026-house-ny-17,malecns,rewired,negation,0.504564,0.081011,0.009128,0.071883,10,0,1
176,2026-house-ny-17,malecns,rewired,original,0.513449,0.098781,0.026898,0.071883,10,0,1
182,2026-house-ny-17,malecns,rewired,paraphrase,0.513926,0.099735,0.027852,0.071883,10,0,1
418,2026-house-oh-9,n/a,coin,original,0.0,,,,1,0,
174,2026-house-oh-9,malecns,er,negation,0.44397,0.365736,-0.112059,0.477795,10,0,1
171,2026-house-oh-9,malecns,er,original,0.438791,0.355378,-0.122417,0.477795,10,0,1
177,2026-house-oh-9,malecns,er,paraphrase,0.438917,0.355628,-0.122167,0.477795,10,0,1
362,2026-house-oh-9,malecns,no_brain,negation,0.49795,0.001167,-0.0041,0.005267,1,0,1
361,2026-house-oh-9,malecns,no_brain,original,0.497603,0.000473,-0.004794,0.005267,1,0,1
363,2026-house-oh-9,malecns,no_brain,paraphrase,0.498465,0.002197,-0.00307,0.005267,1,0,1
219,2026-house-oh-9,malecns,real,negation,0.498033,-0.099134,-0.003934,-0.0952,10,0,1
216,2026-house-oh-9,malecns,real,original,0.501417,-0.092365,0.002835,-0.0952,10,0,1
222,2026-house-oh-9,malecns,real,paraphrase,0.499438,-0.096323,-0.001123,-0.0952,10,0,1
188,2026-house-oh-9,malecns,rewired,negation,0.507165,0.086213,0.014331,0.071883,10,0,1
185,2026-house-oh-9,malecns,rewired,original,0.512063,0.09601,0.024127,0.071883,10,0,1
191,2026-house-oh-9,malecns,rewired,paraphrase,0.508013,0.087909,0.016026,0.071883,10,0,1
419,2026-house-pa-7,n/a,coin,original,1.0,,,,1,0,
184,2026-house-pa-7,malecns,er,negation,0.528623,0.420549,-0.057246,0.477795,10,0,0
180,2026-house-pa-7,malecns,er,original,0.519033,0.439729,-0.038066,0.477795,10,0,0
187,2026-house-pa-7,malecns,er,paraphrase,0.516882,0.444031,-0.033764,0.477795,10,0,0
365,2026-house-pa-7,malecns,no_brain,negation,0.501613,0.00204,-0.003226,0.005267,1,0,0
364,2026-house-pa-7,malecns,no_brain,original,0.501995,0.001276,-0.003991,0.005267,1,0,0
366,2026-house-pa-7,malecns,no_brain,paraphrase,0.501148,0.002971,-0.002296,0.005267,1,0,0
228,2026-house-pa-7,malecns,real,negation,0.502022,-0.099243,-0.004043,-0.0952,10,0,0
225,2026-house-pa-7,malecns,real,original,0.502296,-0.099792,-0.004592,-0.0952,10,0,0
232,2026-house-pa-7,malecns,real,paraphrase,0.498937,-0.093075,0.002125,-0.0952,10,0,0
197,2026-house-pa-7,malecns,rewired,negation,0.493367,0.085148,0.013266,0.071883,10,0,0
194,2026-house-pa-7,malecns,rewired,original,0.484594,0.102694,0.030812,0.071883,10,0,0
200,2026-house-pa-7,malecns,rewired,paraphrase,0.488837,0.094208,0.022326,0.071883,10,0,0
420,2026-house-tx-34,n/a,coin,original,1.0,,,,1,0,
193,2026-house-tx-34,malecns,er,negation,0.585891,0.306013,-0.171782,0.477795,10,0,0
190,2026-house-tx-34,malecns,er,original,0.614063,0.249668,-0.228127,0.477795,10,0,0
196,2026-house-tx-34,malecns,er,paraphrase,0.602072,0.273652,-0.204143,0.477795,10,0,0
368,2026-house-tx-34,malecns,no_brain,negation,0.495465,0.014336,0.009069,0.005267,1,0,0
367,2026-house-tx-34,malecns,no_brain,original,0.49574,0.013788,0.008521,0.005267,1,0,0
369,2026-house-tx-34,malecns,no_brain,paraphrase,0.495436,0.014395,0.009128,0.005267,1,0,0
238,2026-house-tx-34,malecns,real,negation,0.505105,-0.10541,-0.01021,-0.0952,10,0,0
235,2026-house-tx-34,malecns,real,original,0.502812,-0.100825,-0.005625,-0.0952,10,0,0
241,2026-house-tx-34,malecns,real,paraphrase,0.496714,-0.088627,0.006573,-0.0952,10,0,0
206,2026-house-tx-34,malecns,rewired,negation,0.487677,0.096529,0.024646,0.071883,10,0,0
203,2026-house-tx-34,malecns,rewired,original,0.480105,0.111674,0.039791,0.071883,10,0,0
209,2026-house-tx-34,malecns,rewired,paraphrase,0.483425,0.105033,0.03315,0.071883,10,0,0
421,2026-house-wa-3,n/a,coin,original,1.0,,,,1,0,
202,2026-house-wa-3,malecns,er,negation,0.453481,0.384756,-0.093038,0.477795,10,0,1
199,2026-house-wa-3,malecns,er,original,0.446247,0.37029,-0.107505,0.477795,10,0,1
205,2026-house-wa-3,malecns,er,paraphrase,0.452565,0.382925,-0.09487,0.477795,10,0,1
371,2026-house-wa-3,malecns,no_brain,negation,0.501441,0.008148,0.002881,0.005267,1,0,1
370,2026-house-wa-3,malecns,no_brain,original,0.501363,0.007993,0.002726,0.005267,1,0,1
372,2026-house-wa-3,malecns,no_brain,paraphrase,0.501941,0.009149,0.003882,0.005267,1,0,1
247,2026-house-wa-3,malecns,real,negation,0.497139,-0.100923,-0.005723,-0.0952,10,0,1
244,2026-house-wa-3,malecns,real,original,0.502493,-0.090215,0.004985,-0.0952,10,0,1
250,2026-house-wa-3,malecns,real,paraphrase,0.501611,-0.091979,0.003221,-0.0952,10,0,1
214,2026-house-wa-3,malecns,rewired,negation,0.505648,0.083179,0.011296,0.071883,10,0,1
212,2026-house-wa-3,malecns,rewired,original,0.506918,0.085719,0.013836,0.071883,10,0,1
217,2026-house-wa-3,malecns,rewired,paraphrase,0.50537,0.082624,0.010741,0.071883,10,0,1
399,2026-senate-ak,n/a,coin,original,1.0,,,,1,0,
14,2026-senate-ak,malecns,er,negation,0.495244,0.487306,0.009511,0.477795,10,0,0
12,2026-senate-ak,malecns,er,original,0.49445,0.488896,0.011101,0.477795,10,0,0
17,2026-senate-ak,malecns,er,paraphrase,0.494653,0.488489,0.010694,0.477795,10,0,0
305,2026-senate-ak,malecns,no_brain,negation,0.492296,0.020674,0.015408,0.005267,1,0,0
304,2026-senate-ak,malecns,no_brain,original,0.492903,0.01946,0.014193,0.005267,1,0,0
306,2026-senate-ak,malecns,no_brain,paraphrase,0.494227,0.016813,0.011547,0.005267,1,0,0
40,2026-senate-ak,malecns,real,negation,0.500705,-0.09661,-0.00141,-0.0952,10,0,0
36,2026-senate-ak,malecns,real,original,0.500293,-0.095785,-0.000585,-0.0952,10,0,0
43,2026-senate-ak,malecns,real,paraphrase,0.501484,-0.098169,-0.002969,-0.0952,10,0,0
19,2026-senate-ak,malecns,rewired,negation,0.495609,0.080665,0.008783,0.071883,10,0,0
16,2026-senate-ak,malecns,rewired,original,0.495314,0.081254,0.009372,0.071883,10,0,0
22,2026-senate-ak,malecns,rewired,paraphrase,0.496071,0.079741,0.007858,0.071883,10,0,0
397,2026-senate-control,n/a,coin,original,1.0,,,,1,0,
2,2026-senate-control,malecns,er,negation,0.432412,0.342619,-0.135176,0.477795,10,0,1
1,2026-senate-control,malecns,er,original,0.421075,0.319945,-0.15785,0.477795,10,0,1
4,2026-senate-control,malecns,er,paraphrase,0.446302,0.370399,-0.107396,0.477795,10,0,1
299,2026-senate-control,malecns,no_brain,negation,0.49651,-0.001713,-0.00698,0.005267,1,0,1
298,2026-senate-control,malecns,no_brain,original,0.495257,-0.00422,-0.009487,0.005267,1,0,1
300,2026-senate-control,malecns,no_brain,paraphrase,0.494959,-0.004814,-0.010081,0.005267,1,0,1
18,2026-senate-control,malecns,real,negation,0.497199,-0.100802,-0.005602,-0.0952,10,0,1
15,2026-senate-control,malecns,real,original,0.499141,-0.096918,-0.001718,-0.0952,10,0,1
21,2026-senate-control,malecns,real,paraphrase,0.500913,-0.093374,0.001826,-0.0952,10,0,1
5,2026-senate-control,malecns,rewired,negation,0.506944,0.085771,0.013889,0.071883,10,0,1
3,2026-senate-control,malecns,rewired,original,0.509906,0.091694,0.019812,0.071883,10,0,1
7,2026-senate-control,malecns,rewired,paraphrase,0.508729,0.08934,0.017458,0.071883,10,0,1
408,2026-senate-fl,n/a,coin,original,1.0,,,,1,0,
87,2026-senate-fl,malecns,er,negation,0.462606,0.403007,-0.074787,0.477795,10,0,1
84,2026-senate-fl,malecns,er,original,0.45964,0.397074,-0.080721,0.477795,10,0,1
